# eps=1.0: cuts at extrema of a along real caps; I = corrected action from pole to the cut (per a_anom), q1=a^2, R = scalar curvature at the cut
#  c3        | peak: tau      a       a'''     R       I_peak   N_peak  | neck: tau     a       a'''     R       I_neck   N_neck
-0.33967 | 1.1984 0.7295 +1.1156 +19.498 -3.43741 0.5667 | 2.1457 0.5574 -0.1323 +8.546 -6.22474 1.1769  closed nex=5
-0.33814 | 1.2005 0.7310 +1.1057 +19.435 -3.43937 0.5688 | 2.1520 0.5572 -0.1536 +8.557 -6.22923 1.1824  closed nex=5
-0.33662 | 1.2027 0.7325 +1.0958 +19.372 -3.44134 0.5709 | 2.1584 0.5570 -0.1752 +8.568 -6.23375 1.1879  closed nex=5
-0.33509 | 1.2048 0.7341 +1.0860 +19.309 -3.44331 0.5730 | 2.1649 0.5567 -0.1969 +8.581 -6.23833 1.1934  closed nex=5
-0.33356 | 1.2070 0.7356 +1.0761 +19.246 -3.44527 0.5752 | 2.1713 0.5565 -0.2190 +8.594 -6.24295 1.1990  closed nex=5
-0.33204 | 1.2092 0.7371 +1.0662 +19.183 -3.44725 0.5774 | 2.1779 0.5562 -0.2412 +8.609 -6.24761 1.2046  closed nex=5
-0.33051 | 1.2113 0.7386 +1.0564 +19.120 -3.44922 0.5796 | 2.1845 0.5559 -0.2637 +8.624 -6.25232 1.2102  closed nex=5
-0.32899 | 1.2136 0.7402 +1.0465 +19.057 -3.45119 0.5818 | 2.1911 0.5556 -0.2865 +8.640 -6.25708 1.2159  closed nex=7
-0.32746 | 1.2158 0.7418 +1.0367 +18.994 -3.45317 0.5840 | 2.1978 0.5552 -0.3096 +8.657 -6.26188 1.2217  closed nex=5
-0.32594 | 1.2180 0.7433 +1.0268 +18.931 -3.45514 0.5862 | 2.2045 0.5549 -0.3329 +8.675 -6.26673 1.2275  closed nex=5
-0.32441 | 1.2202 0.7449 +1.0169 +18.868 -3.45712 0.5885 | 2.2113 0.5545 -0.3565 +8.694 -6.27164 1.2333  closed nex=5
-0.32288 | 1.2225 0.7465 +1.0071 +18.804 -3.45910 0.5908 | 2.2181 0.5541 -0.3804 +8.714 -6.27659 1.2392  closed nex=5
-0.32136 | 1.2248 0.7481 +0.9972 +18.741 -3.46108 0.5931 | 2.2250 0.5537 -0.4046 +8.735 -6.28159 1.2451  closed nex=7
-0.31983 | 1.2271 0.7497 +0.9873 +18.678 -3.46306 0.5954 | 2.2320 0.5532 -0.4291 +8.757 -6.28665 1.2511  closed nex=5
-0.31831 | 1.2294 0.7513 +0.9775 +18.614 -3.46505 0.5977 | 2.2390 0.5528 -0.4540 +8.781 -6.29176 1.2571  closed nex=5
-0.31678 | 1.2317 0.7530 +0.9676 +18.551 -3.46703 0.6001 | 2.2460 0.5523 -0.4792 +8.806 -6.29692 1.2632  closed nex=5
-0.31526 | 1.2340 0.7546 +0.9578 +18.487 -3.46902 0.6025 | 2.2531 0.5518 -0.5047 +8.831 -6.30214 1.2693  closed nex=5
-0.31373 | 1.2364 0.7563 +0.9479 +18.424 -3.47101 0.6049 | 2.2603 0.5513 -0.5306 +8.858 -6.30741 1.2754  closed nex=5
-0.31221 | 1.2387 0.7579 +0.9380 +18.360 -3.47300 0.6073 | 2.2675 0.5507 -0.5568 +8.887 -6.31274 1.2816  closed nex=5
-0.31068 | 1.2411 0.7596 +0.9282 +18.297 -3.47499 0.6097 | 2.2747 0.5502 -0.5834 +8.917 -6.31812 1.2879  closed nex=5
-0.30915 | 1.2435 0.7613 +0.9183 +18.233 -3.47698 0.6122 | 2.2820 0.5496 -0.6104 +8.948 -6.32357 1.2942  closed nex=5
-0.30763 | 1.2459 0.7630 +0.9085 +18.169 -3.47897 0.6147 | 2.2894 0.5490 -0.6379 +8.980 -6.32907 1.3005  closed nex=5
-0.30610 | 1.2483 0.7647 +0.8986 +18.105 -3.48096 0.6172 | 2.2969 0.5483 -0.6657 +9.014 -6.33463 1.3069  closed nex=5
-0.30458 | 1.2507 0.7665 +0.8888 +18.042 -3.48296 0.6197 | 2.3043 0.5476 -0.6940 +9.050 -6.34025 1.3133  closed nex=7
-0.30305 | 1.2532 0.7682 +0.8789 +17.978 -3.48496 0.6222 | 2.3119 0.5469 -0.7227 +9.087 -6.34593 1.3198  closed nex=5
-0.30153 | 1.2556 0.7699 +0.8690 +17.914 -3.48695 0.6248 | 2.3195 0.5462 -0.7519 +9.126 -6.35168 1.3264  closed nex=7
-0.30000 | 1.2581 0.7717 +0.8592 +17.850 -3.48895 0.6274 | 2.3272 0.5455 -0.7816 +9.167 -6.35749 1.3329  closed nex=5
-0.30000 | 1.2581 0.7717 +0.8592 +17.850 -3.48895 0.6274 | 2.3272 0.5455 -0.7816 +9.167 -6.35749 1.3329  closed nex=5
-0.29000 | 1.2748 0.7836 +0.7946 +17.429 -3.50207 0.6449 | 2.3789 0.5397 -0.9895 +9.481 -6.39721 1.3773  closed nex=7
-0.28000 | 1.2923 0.7960 +0.7300 +17.007 -3.51523 0.6636 | 2.4334 0.5325 -1.2252 +9.893 -6.43998 1.4239  closed nex=5
-0.27000 | 1.3105 0.8091 +0.6655 +16.581 -3.52843 0.6834 | 2.4907 0.5235 -1.4972 +10.435 -6.48607 1.4726  closed nex=7
-0.26000 | 1.3297 0.8228 +0.6009 +16.153 -3.54165 0.7045 | 2.5509 0.5123 -1.8178 +11.151 -6.53581 1.5236  closed nex=5
-0.25000 | 1.3498 0.8374 +0.5364 +15.723 -3.55488 0.7271 | 2.6143 0.4985 -2.2055 +12.107 -6.58949 1.5766  closed nex=7
-0.24000 | 1.3710 0.8527 +0.4719 +15.289 -3.56814 0.7512 | 2.6808 0.4816 -2.6887 +13.410 -6.64741 1.6315  closed nex=5
-0.23000 | 1.3933 0.8689 +0.4075 +14.853 -3.58140 0.7771 | 2.7503 0.4608 -3.3148 +15.234 -6.70988 1.6880  closed nex=7
-0.22000 | 1.4169 0.8861 +0.3431 +14.413 -3.59469 0.8050 | 2.8227 0.4352 -4.1667 +17.892 -6.77716 1.7456  closed nex=7
-0.21000 | 1.4419 0.9044 +0.2787 +13.969 -3.60800 0.8352 | 2.8974 0.4034 -5.4053 +21.996 -6.84946 1.8036  closed nex=7
-0.20000 | 1.4685 0.9240 +0.2143 +13.522 -3.62135 0.8679 | 2.9734 0.3634 -7.3867 +28.926 -6.92690 1.8607  closed nex=5
-0.19000 | 1.4968 0.9449 +0.1500 +13.071 -3.63477 0.9034 | 3.0489 0.3117 -11.0832 +42.514 -7.00947 1.9151  closed nex=5
-0.18000 | 1.5270 0.9673 +0.0857 +12.615 -3.64831 0.9422 | 3.1193 0.2408 -20.4047 +78.545 -7.09690 1.9636  closed nex=5
-0.17000 | 1.5595 0.9915 +0.0214 +12.155 -3.66203 0.9849 | 3.1685 0.1224 -86.4712 +351.534 -7.18826 1.9983  closed nex=3
-0.16000 | 1.5944 1.0177 -0.0428 +11.689 -3.67604 1.0319 | -  closed nex=1
-0.15000 | 1.6321 1.0462 -0.1070 +11.217 -3.69049 1.0840 | -  closed nex=1
-0.14000 | 1.6731 1.0773 -0.1711 +10.739 -3.70560 1.1422 | -  closed nex=1
-0.13000 | 1.7179 1.1115 -0.2351 +10.254 -3.72172 1.2077 | -  closed nex=1
-0.12000 | 1.7671 1.1494 -0.2991 +9.761 -3.73933 1.2820 | -  closed nex=1
-0.11000 | 1.8217 1.1917 -0.3630 +9.259 -3.75917 1.3671 | -  closed nex=1
-0.10000 | 1.8827 1.2394 -0.4269 +8.747 -3.78235 1.4657 | -  closed nex=1
-0.09000 | 1.9515 1.2937 -0.4906 +8.223 -3.81063 1.5815 | -  closed nex=1
-0.08000 | 2.0303 1.3565 -0.5542 +7.684 -3.84672 1.7197 | -  closed nex=1
-0.07000 | 2.1219 1.4302 -0.6177 +7.129 -3.89515 1.8883 | -  closed nex=1
-0.06000 | 2.2305 1.5187 -0.6811 +6.552 -3.96364 2.0993 | -  closed nex=1
-0.05000 | 2.3629 1.6281 -0.7442 +5.949 -4.06625 2.3727 | -  closed nex=1
